Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3,65.0,8450,20,30,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,196.0,40,30,2,40,30,10,60,706,10,0,150,856,1,50,10,4,856,854,0,1710,1,0,2,1,3,1,40,8,6,0,0,1,16,20,2,548,30,30,20,0,61,0,0,0,0,0,2,2008,8,4,208500
2,20,3,80.0,9600,20,30,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,3,0.0,30,30,1,40,30,40,50,978,10,0,284,1262,1,50,10,4,1262,0,0,1262,0,1,2,0,3,1,30,6,6,1,30,1,43,20,2,460,30,30,20,298,0,0,0,0,0,0,5,2007,8,4,181500
3,60,3,68.0,11250,20,20,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,162.0,40,30,2,40,30,20,60,486,10,0,434,920,1,50,10,4,920,866,0,1786,1,0,2,1,3,1,40,6,6,1,30,1,18,20,2,608,30,30,20,0,42,0,0,0,0,0,9,2008,8,4,223500
4,70,3,60.0,9550,20,20,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,3,0.0,30,30,0,30,40,10,50,216,10,0,540,756,1,40,10,4,961,756,0,1717,1,0,1,0,3,1,40,7,6,1,40,5,21,10,3,642,30,30,20,0,35,272,0,0,0,0,2,2006,8,0,140000
5,60,3,84.0,14260,20,20,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,350.0,40,30,2,40,30,30,60,655,10,0,490,1145,1,50,10,4,1145,1053,0,2198,1,0,2,1,4,1,40,9,6,1,30,1,19,20,3,836,30,30,20,192,84,0,0,0,0,0,12,2008,8,4,250000
6,50,3,85.0,14115,20,20,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,3,0.0,30,30,5,40,30,10,60,732,10,0,64,796,1,50,10,4,796,566,0,1362,1,0,1,1,1,1,30,5,6,0,0,1,26,10,2,480,30,30,20,40,30,0,320,0,0,700,10,2009,8,4,143000
7,20,3,75.0,10084,20,30,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,4,186.0,40,30,2,50,30,30,60,1369,10,0,317,1686,1,50,10,4,1694,0,0,1694,1,0,2,0,3,1,40,7,6,1,40,1,15,20,2,636,30,30,20,255,57,0,0,0,0,0,8,2007,8,4,307000
8,60,3,0.0,10382,20,20,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,4,240.0,30,30,1,40,30,20,50,859,40,32,216,1107,1,50,10,4,1107,983,0,2090,1,0,2,1,3,1,30,7,6,2,30,1,46,20,2,484,30,30,20,235,204,228,0,0,0,350,11,2009,8,4,200000
9,50,4,51.0,6120,20,30,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,3,0.0,30,30,0,30,30,10,10,0,10,0,952,952,1,40,10,1,1022,752,0,1774,0,0,2,0,2,2,30,8,2,2,30,5,88,10,2,468,20,30,20,90,0,205,0,0,0,0,4,2008,8,0,129900
10,190,3,50.0,7420,20,30,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,3,0.0,30,30,0,30,30,10,60,851,10,0,140,991,1,50,10,4,1077,0,0,1077,1,0,1,0,2,2,30,5,6,2,30,1,80,20,1,205,40,30,20,0,4,0,0,0,0,0,1,2008,8,4,118000
11,20,3,70.0,11200,20,30,3,0,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,3,0.0,30,30,1,30,30,10,30,906,10,0,134,1040,1,50,10,4,1040,0,0,1040,1,0,1,0,3,1,30,5,6,0,0,5,54,10,1,384,30,30,20,0,0,0,0,0,0,0,2,2008,8,4,129500
12,60,3,85.0,11924,20,20,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,4,286.0,50,30,2,50,30,10,60,998,10,0,177,1175,1,50,10,4,1182,1142,0,2324,1,0,3,0,4,1,50,11,6,2,40,3,14,30,3,736,30,30,20,147,21,0,0,0,0,0,7,2006,6,5,345000
13,20,3,0.0,12968,20,10,3,0,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,3,0.0,30,30,1,30,30,10,50,737,10,0,175,912,1,30,10,4,912,0,0,912,1,0,1,0,2,1,30,4,6,0,0,5,57,10,1,352,30,30,20,140,0,0,0,176,0,0,9,2008,8,4,144000
14,20,3,91.0,10652,20,20,3,0,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,4,306.0,40,30,2,40,30,30,10,0,10,0,1494,1494,1,50,10,4,1494,0,0,1494,0,0,2,0,3,1,40,7,6,1,40,1,13,20,3,840,30,30,20,160,33,0,0,0,0,0,8,2007,6,5,279500
15,20,3,0.0,10920,20,20,3,0,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,1,212.0,30,30,1,30,30,10,40,733,10,0,520,1253,1,30,10,4,1253,0,0,1253,1,0,1,1,2,1,30,5,6,1,20,1,59,20,1,352,30,30,20,0,213,176,0,0,0,0,5,2008,8,4,157000
16,45,4,51.0,6120,20,30,3,0,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,3,0.0,30,30,0,30,30,10,10,0,10,0,832,832,1,50,10,0,854,0,0,854,0,0,1,0,2,1,30,5,6,0,0,5,28,10,2,576,30,30,20,48,112,0,0,0,0,0,7,2007,8,4,132000
17,20,3,0.0,11241,20,20,3,0,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,1,180.0,30,30,1,30,30,10,50,578,10,0,426,1004,1,50,10,4,1004,0,0,1004,1,0,1,0,2,1,30,5,6,1,30,1,49,30,2,480,30,30,20,0,0,0,0,0,0,700,3,2010,8,4,149000
18,90,3,72.0,10791,20,30,3,0,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,3,0.0,30,30,3,0,0,0,0,0,0,0,0,0,1,30,10,4,1296,0,0,1296,0,0,2,0,2,2,30,6,6,0,0,4,52,10,2,516,30,30,20,0,0,0,0,0,0,500,10,2006,8,4,90000
19,20,3,66.0,13695,20,30,3,0,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,3,0.0,30,30,2,30,30,10,60,646,10,0,468,1114,1,50,10,4,1114,0,0,1114,1,0,1,1,3,1,40,6,6,0,0,5,15,10,2,576,30,30,20,0,102,0,0,0,0,0,6,2008,8,4,159000
20,20,3,70.0,7560,20,30,3,0,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,3,0.0,30,30,1,30,30,10,20,504,10,0,525,1029,1,30,10,4,1339,0,0,1339,0,0,1,0,3,1,30,6,2,0,0,1,61,10,1,294,30,30,20,0,0,0,0,0,0,0,5,2009,0,0,139000
21,60,3,101.0,14215,20,20,3,0,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,1,380.0,40,30,2,50,30,30,10,0,10,0,1158,1158,1,50,10,4,1158,1218,0,2376,0,0,3,1,4,1,40,9,6,1,40,3,14,20,3,853,30,30,20,240,154,0,0,0,0,0,11,2006,6,5,325300
22,45,4,57.0,7449,20,30,0,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,3,0.0,30,30,2,30,30,10,10,0,10,0,637,637,1,50,10,1,1108,0,0,1108,0,0,1,0,3,1,40,6,6,1,40,1,89,10,1,280,30,30,0,0,0,205,0,0,0,0,6,2007,8,4,139400
23,20,3,75.0,9742,20,30,3,0,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,1,281.0,40,30,2,40,30,10,10,0,10,0,1777,1777,1,50,10,4,1795,0,0,1795,0,0,2,0,3,1,40,7,6,1,40,1,17,20,2,534,30,30,20,171,159,0,0,0,0,0,9,2008,8,4,230000
24,120,4,44.0,4224,20,30,3,0,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,3,0.0,30,30,2,40,30,10,60,840,10,0,200,1040,1,30,10,4,1060,0,0,1060,1,0,1,0,3,1,30,6,6,1,30,1,43,10,2,572,30,30,20,100,110,0,0,0,0,0,6,2007,8,4,129900
25,20,3,0.0,8246,20,20,3,0,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,3,0.0,30,40,1,30,30,20,30,188,50,668,204,1060,1,50,10,4,1060,0,0,1060,1,0,1,0,3,1,40,6,6,1,30,1,51,10,1,270,30,30,20,406,90,0,0,0,0,0,5,2010,8,4,154000
26,20,3,110.0,14230,20,30,3,0,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,4,640.0,40,30,2,40,30,10,10,0,10,0,1566,1566,1,50,10,4,1600,0,0,1600,0,0,2,0,3,1,40,7,6,1,40,1,12,20,3,890,30,30,20,0,56,0,0,0,0,0,7,2009,8,4,256300
27,20,3,60.0,7200,20,30,3,0,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,3,0.0,30,30,1,30,30,20,40,234,30,486,180,900,1,30,10,4,900,0,0,900,0,1,1,0,3,1,40,5,6,0,0,5,14,10,2,576,30,30,20,222,32,0,0,0,0,0,5,2010,8,4,134800
28,20,3,98.0,11478,20,30,3,0,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,4,200.0,40,30,2,50,30,10,60,1218,10,0,486,1704,1,50,10,4,1704,0,0,1704,1,0,2,0,3,1,40,7,6,1,40,1,11,20,3,772,30,30,20,0,50,0,0,0,0,0,5,2010,8,4,306000
